driverId,surname,forename,Numero_Carreras,Numero_Temporadas,Puntos_Totales,Puntos_Promedio
825,Magnussen,Kevin,186,10,196.0,1.053763440860215
826,Kvyat,Daniil,112,6,202.0,1.8035714285714286
828,Ericsson,Marcus,97,5,18.0,0.18556701030927836
830,Verstappen,Max,209,10,2912.5,13.935406698564593
831,Nasr,Felipe,40,2,29.0,0.725
832,Sainz,Carlos,208,10,1203.5,5.7860576923076925
835,Palmer,Jolyon,37,2,9.0,0.24324324324324326
836,Wehrlein,Pascal,39,2,6.0,0.15384615384615385
838,Vandoorne,Stoffel,42,3,26.0,0.6190476190476191
839,Ocon,Esteban,156,8,440.0,2.8205128205128207
840,Stroll,Lance,168,8,286.0,1.7023809523809523
841,Giovinazzi,Antonio,62,4,21.0,0.3387096774193548
842,Gasly,Pierre,154,8,426.0,2.7662337662337664
843,Hartley,Brendon,25,2,4.0,0.16
844,Leclerc,Charles,149,7,1363.0,9.14765100671141
845,Sirotkin,Sergey,21,1,1.0,0.047619047619047616
846,Norris,Lando,128,6,950.0,7.421875
847,Russell,George,128,6,664.0,5.1875
848,Albon,Alexander,105,5,238.0,2.2666666666666666
849,Latifi,Nicholas,61,3,9.0,0.14754098360655737
852,Tsunoda,Yuki,90,4,87.0,0.9666666666666667
853,Mazepin,Nikita,22,1,0.0,0.0
854,Schumacher,Mick,44,2,12.0,0.2727272727272727
855,Zhou,Guanyu,68,3,16.0,0.23529411764705882
857,Piastri,Oscar,46,2,347.0,7.543478260869565
858,Sargeant,Logan,36,2,1.0,0.027777777777777776
