Piloto_ID,Piloto,Numero_Carreras,Puntos_Totales
4,Alonso,404,2329.0
37,de la Rosa,107,35.0
48,Gené,36,5.0
153,Alguersuari,46,31.0
159,Pérez-Sala,32,1.0
167,Campos,21,0.0
208,de Villota,14,0.0
279,Zapico,1,0.0
339,Soler-Roig,9,0.0
504,Creus,1,0.0
580,Godia,14,6.0
606,de Portago,6,4.0
782,Jover,1,0.0
832,Sainz,208,1203.5
833,Merhi,13,0.0
