year,name,grid,positionOrder,points,position_change
2019,Belgian Grand Prix,4,3,15.0,-1
2019,Italian Grand Prix,3,2,18.0,-1
2019,Singapore Grand Prix,5,5,10.0,0
2019,Russian Grand Prix,4,2,18.0,-2
2019,Japanese Grand Prix,3,1,25.0,-2
2019,Mexican Grand Prix,6,3,15.0,-3
2020,Austrian Grand Prix,1,1,25.0,0
2019,United States Grand Prix,1,1,25.0,0
2019,Brazilian Grand Prix,4,20,0.0,16
2019,Abu Dhabi Grand Prix,20,4,12.0,-16
2020,Styrian Grand Prix,4,2,18.0,-2
2020,Hungarian Grand Prix,2,3,15.0,1
2020,British Grand Prix,2,11,0.0,9
2020,70th Anniversary Grand Prix,1,3,15.0,2
2020,Spanish Grand Prix,2,3,16.0,1
2020,Belgian Grand Prix,2,2,18.0,0
2020,Italian Grand Prix,2,5,10.0,3
2020,Tuscan Grand Prix,2,2,18.0,0
2020,Russian Grand Prix,3,1,26.0,-2
2020,Eifel Grand Prix,1,19,0.0,18
2020,Portuguese Grand Prix,2,2,18.0,0
2020,Emilia Romagna Grand Prix,1,2,18.0,1
2020,Turkish Grand Prix,9,14,0.0,5
2020,Bahrain Grand Prix,2,8,4.0,6
2020,Sakhir Grand Prix,1,8,4.0,7
2020,Abu Dhabi Grand Prix,2,2,18.0,0
2021,Bahrain Grand Prix,3,3,16.0,0
2021,Emilia Romagna Grand Prix,8,18,0.0,10
2021,Portuguese Grand Prix,1,3,16.0,2
2021,Spanish Grand Prix,3,3,15.0,0
2021,Monaco Grand Prix,3,19,0.0,16
2021,Azerbaijan Grand Prix,10,12,0.0,2
2021,French Grand Prix,3,4,12.0,1
2021,Styrian Grand Prix,5,3,15.0,-2
2021,Austrian Grand Prix,5,2,18.0,-3
2021,British Grand Prix,3,3,15.0,0
2021,Hungarian Grand Prix,2,16,0.0,14
2021,Belgian Grand Prix,13,12,0.0,-1
2021,Dutch Grand Prix,3,3,15.0,0
2021,Italian Grand Prix,19,3,15.0,-16
2021,Russian Grand Prix,16,5,10.0,-11
2021,Turkish Grand Prix,1,1,26.0,0
2021,United States Grand Prix,9,6,8.0,-3
2021,Mexico City Grand Prix,1,15,0.0,14
2021,São Paulo Grand Prix,1,3,15.0,2
2021,Qatar Grand Prix,6,20,0.0,14
2021,Saudi Arabian Grand Prix,2,3,15.0,1
2021,Abu Dhabi Grand Prix,6,6,8.0,0
2022,Bahrain Grand Prix,6,6,8.0,0
2022,Saudi Arabian Grand Prix,8,15,0.0,7
2022,Australian Grand Prix,12,8,4.0,-4
2022,Emilia Romagna Grand Prix,7,5,10.0,-2
2022,Miami Grand Prix,5,7,6.0,2
2022,Spanish Grand Prix,7,6,8.0,-1
2022,Monaco Grand Prix,12,9,2.0,-3
2022,Azerbaijan Grand Prix,15,11,0.0,-4
2022,Canadian Grand Prix,11,7,6.0,-4
2022,British Grand Prix,12,17,0.0,5
2022,Austrian Grand Prix,0,11,0.0,11
2022,French Grand Prix,11,14,0.0,3
2022,Hungarian Grand Prix,8,20,0.0,12
2022,Belgian Grand Prix,13,19,0.0,6
2022,Dutch Grand Prix,16,19,0.0,3
2022,Italian Grand Prix,15,13,0.0,-2
2022,Singapore Grand Prix,15,11,0.0,-4
2022,Japanese Grand Prix,12,15,0.0,3
2022,United States Grand Prix,7,19,0.0,12
2022,Mexico City Grand Prix,6,10,1.0,4
2022,São Paulo Grand Prix,14,9,2.0,-5
2022,Abu Dhabi Grand Prix,18,15,0.0,-3
2023,Bahrain Grand Prix,12,8,4.0,-4
2023,Saudi Arabian Grand Prix,14,18,0.0,4
2023,Australian Grand Prix,0,11,0.0,11
2023,Azerbaijan Grand Prix,13,18,0.0,5
2023,Miami Grand Prix,10,13,0.0,3
2023,Monaco Grand Prix,15,11,0.0,-4
2023,Spanish Grand Prix,16,19,0.0,3
2023,Canadian Grand Prix,14,10,1.0,-4
2023,Austrian Grand Prix,14,15,0.0,1
2023,British Grand Prix,20,12,0.0,-8
2023,Hungarian Grand Prix,7,12,0.0,5
2023,Belgian Grand Prix,13,12,0.0,-1
2023,Dutch Grand Prix,18,14,0.0,-4
2023,Italian Grand Prix,14,10,1.0,-4
2023,Singapore Grand Prix,16,17,0.0,1
2023,Japanese Grand Prix,16,20,0.0,4
2023,Qatar Grand Prix,9,8,4.0,-1
2023,United States Grand Prix,13,12,0.0,-1
2023,Mexico City Grand Prix,9,15,0.0,6
2023,São Paulo Grand Prix,18,16,0.0,-2
2023,Las Vegas Grand Prix,7,17,0.0,10
2023,Abu Dhabi Grand Prix,18,19,0.0,1
2024,Bahrain Grand Prix,16,19,0.0,3
2024,Saudi Arabian Grand Prix,16,17,0.0,1
2024,Australian Grand Prix,13,14,0.0,1
2024,Japanese Grand Prix,13,14,0.0,1
2024,Chinese Grand Prix,10,20,0.0,10
2024,Miami Grand Prix,16,16,0.0,0
